specimen,country,region,species,habit,habitat,general_habitat,ab_papillae_long_cells_stomatal,ab_papillae_long_cells_interstomatal,ab_prickle,ab_bimicro,ab_macro,ab_bilobate_intercostal,ab_ridged_saddle_intercostal,ab_smooth_saddle_intercostal,ab_vertically_elongated_intercostal,ab_bilobate_costal,ab_ridged_saddle_costal,ab_smooth_saddle_costal,ab_vertically_elongated_costal,ab_triangular_sub_cells,ab_dome_sub_cells,ab_parallel_sub_cells,ad_stomata,ad_stomata_freq,ad_papillae_long_cells_stomatal,ad_papillae_long_cells_interstomatal,ad_papillae_overarch,ad_papillae_bulliform,ad_prickle,ad_bimicro,ad_macro,ad_bilobate_intercostal,ad_ridged_saddle_intercostal,ad_smooth_saddle_intercostal,ad_vertically_elongated_intercostal,ad_bilobate_costal,ad_ridged_saddle_costal,ad_smooth_saddle_costal,ad_vertically_elongated_costal,ad_triangular_sub_cells,ad_dome_sub_cells,ad_parallel_sub_cells
g_amplexifolia_mcclure_21268,venezuela,andes,g_amplexifolia,big_erect,forest,general_forest,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,x,x,x
g_amplexifolia_curran_362,colombia,andes,g_amplexifolia,big_erect,forest,general_forest,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,x,x,x
g_angustifolia_mcclure_21233,colombia,andes,g_angustifolia,big_erect,forest,general_forest,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,x,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1
g_angustifolia_mcclure_21384,ecuador,andes,g_angustifolia,big_erect,forest,general_forest,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,x,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0
g_angustifolia_young_53,ecuador,andes,g_angustifolia,big_erect,forest,general_forest,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,x,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
g_angustifolia_londono_and_clark_484,colombia,andes,g_angustifolia,big_erect,forest,general_forest,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,x,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0
g_angustifolia_londono_291,colombia,andes,g_angustifolia,big_erect,forest,general_forest,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,x,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1
g_angustifolia_londono_19,colombia,andes,g_angustifolia,big_erect,forest,general_forest,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,x,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1
g_angustifolia_londono_281,colombia,andes,g_angustifolia,big_erect,forest,general_forest,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,x,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0
g_angustifolia_young_84,ecuador,andes,g_angustifolia,big_erect,forest,general_forest,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,x,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0
g_angustifolia_foster_13140,peru,andes,g_angustifolia,big_erect,forest,general_forest,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,x,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1
g_angustifolia_londono_289,colombia,andes,g_angustifolia,big_erect,forest,general_forest,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,x,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0
g_incana_londono_973,colombia,andes,g_incana,big_erect,forest,general_forest,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,x,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1
g_uncinata_mcclure_21364,ecuador,andes,g_uncinata,big_erect,forest,general_forest,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,x,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
g_uncinata_londono_and_quintero_109,colombia,andes,g_uncinata,big_erect,forest,general_forest,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,x,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0
g_aculeata_mcclure_21675,guatemala,central_america,g_aculeata,big_erect,forest,general_forest,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,x,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1
g_aculeata_little_25168,nicaragua,central_america,g_aculeata,big_erect,forest,general_forest,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,x,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1
g_amplexifolia_allen_4039,panama,central_america,g_amplexifolia,big_erect,forest,general_forest,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1
g_chacoensis_kraporideas_et_al_23851,argentina,eastern_south_america,g_chacoensis,big_erect,forest,general_forest,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,x,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1
g_chacoensis_kraporideas_et_al_25470,argentina,eastern_south_america,g_chacoensis,big_erect,forest,general_forest,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,x,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0
g_chacoensis_londono_and_clark_697,brazil,eastern_south_america,g_chacoensis,big_erect,forest,general_forest,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,x,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
g_macrostachya_londono_and_rosa_745,brazil,eastern_south_america,g_macrostachya,big_erect,forest,general_forest,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,x,x,x
g_paraguayana_quarin_3318,argentina,eastern_south_america,g_paraguayana,big_erect,forest,general_forest,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,x,x,x
g_paraguayana_londono_759,brazil,eastern_south_america,g_paraguayana,big_erect,forest,general_forest,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,x,x,x
g_aculeata_liebmann_131,mexico,mexico,g_aculeata,big_erect,forest,general_forest,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,x,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1
g_aculeata_liebmann_141,mexico,mexico,g_aculeata,big_erect,forest,general_forest,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
g_aculeata_clark_and_tenorio_949,mexico,mexico,g_aculeata,big_erect,forest,general_forest,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,x,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1
g_aculeata_young_205,mexico,mexico,g_aculeata,big_erect,forest,general_forest,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,x,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1
g_amplexifolia_clark_et_al_474,mexico,mexico,g_amplexifolia,big_erect,forest,general_forest,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,x,x,x
g_amplexifolia_clark_et_al_1144,mexico,mexico,g_amplexifolia,big_erect,forest,general_forest,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1
g_amplexifolia_young_204,mexico,mexico,g_amplexifolia,big_erect,forest,general_forest,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0
g_velutina_conrad_et_al_z61,mexico,mexico,g_velutina,big_erect,forest,general_forest,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,x,x,x
g_velutina_pringle_7163,mexico,mexico,g_velutina,big_erect,forest,general_forest,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,x,x,x
g_velutina_sohns_1433,mexico,mexico,g_velutina,big_erect,forest,general_forest,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,x,x,x
g_velutina_young_206,mexico,mexico,g_velutina,big_erect,forest,general_forest,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,x,x,x
g_velutina_clark_et_al_457,mexico,mexico,g_velutina,big_erect,forest,general_forest,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,x,x,x
g_sarcocarpa_wasshausen_and_encarnacion_760,peru,andes,g_sarcocarpa,leaning_climbing,forest,general_forest,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,x,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
g_sarcocarpa_reategui_sn,peru,andes,g_sarcocarpa,leaning_climbing,forest,general_forest,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,x,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
g_weberbaueri_mcclure_21435,peru,andes,g_weberbaueri,leaning_climbing,forest,general_forest,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,x,0,0,x,0,0,0,0,1,0,0,1,1,0,1,1,x,x,x
g_calderoniana_calderon_and_santos_2476,brazil,eastern_south_america,g_calderoniana,leaning_climbing,forest,general_forest,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,x,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1
