"full_location","island","site","transect","top_color","bowl_color","orders","number_of_insects","dateout","datecoll","duration","order_abrev"
"Saipan_MTRL_L3","saipan","mtrl","L3","w","w","Lepidoptera",99,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_MTRL_L3","saipan","mtrl","L3","w","b","Lepidoptera",94,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_MTRL_L3","saipan","mtrl","L3","w","y","Lepidoptera",91,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_MTRL_L3","saipan","mtrl","L3","w","r","Lepidoptera",84,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_MTRL_L3","saipan","mtrl","L3","y","r","Lepidoptera",60,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","b","y","Hemiptera",53,2018-01-17,2018-01-20,3,"Hemip"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","y","y","Hemiptera",52,2018-01-17,2018-01-20,3,"Hemip"
"Saipan_MTRL_L3","saipan","mtrl","L3","r","r","Lepidoptera",41,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_MTRL_L3","saipan","mtrl","L3","y","y","Lepidoptera",39,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_MTRL_L3","saipan","mtrl","L3","r","w","Lepidoptera",29,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_MTRL_L3","saipan","mtrl","L3","r","y","Lepidoptera",24,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","b","r","Hemiptera",23,2018-01-17,2018-01-20,3,"Hemip"
"Saipan_ForbiGrid_L3","saipan","forbig","L3","y","y","Lepidoptera",23,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiGrid_L3","saipan","forbig","L3","b","b","Lepidoptera",23,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_MTRL_L3","saipan","mtrl","L3","b","y","Lepidoptera",23,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","b","b","Hemiptera",22,2018-01-17,2018-01-20,3,"Hemip"
"Saipan_ForbiGrid_L3","saipan","forbig","L3","w","y","Lepidoptera",21,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_MTRL_L3","saipan","mtrl","L3","b","b","Lepidoptera",21,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","y","y","Apoidea",20,2018-01-17,2018-01-20,3,"Apoid"
"Saipan_Ladtg_L3","saipan","ladtg","L3","r","y","Apoidea",20,NA,NA,NA,"Apoid"
"Saipan_MTRL_L3","saipan","mtrl","L3","b","r","Lepidoptera",20,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_LADTA_L2","saipan","ladta","L2","y","y","Diptera",18,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_LADTA_L2","saipan","ladta","L2","r","w","Coleoptera",18,2018-01-17,2018-01-20,3,"Coleo"
"Guam_Racetrack_L3","guam","race","L3","b","y","Formicidae",17,2018-01-12,2018-01-15,3,"Formi"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","b","y","Diptera",17,2018-01-17,2018-01-20,3,"Dipte"
"Guam_Racetrack_L2","guam","race","L2","y","y","Diptera",16,2018-01-12,2018-01-15,3,"Dipte"
"Saipan_ForbiGrid_L1","saipan","forbig","L1","b","w","Diptera",16,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_ForbiGrid_L3","saipan","forbig","L3","r","r","Lepidoptera",16,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_LADTA_L1","saipan","ladta","L1","y","w","Diptera",16,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_Ladtg_L1","saipan","ladtg","L1","r","w","Diptera",16,NA,NA,NA,"Dipte"
"Saipan_MTRL_L3","saipan","mtrl","L3","r","b","Lepidoptera",16,2018-01-17,2018-01-20,3,"Lepid"
"Guam_Nblas_L2","guam","nblas","L2","r","w","Formicidae",15,2018-01-12,2018-01-15,3,"Formi"
"Guam_Sblas_L1","guam","sblas","L1","w","r","Formicidae",15,2018-01-12,2018-01-15,3,"Formi"
"Saipan_ForbiA_L2","saipan","forbia","L2","b","y","Diptera",15,2018-01-17,2018-01-20,3,"Dipte"
"Saipan_Ladtg_L3","saipan","ladtg","L3","r","w","Diptera",15,NA,NA,NA,"Dipte"
"Saipan_Ladtg_L3","saipan","ladtg","L3","y","w","Lepidoptera",15,NA,NA,NA,"Lepid"
"Guam_Riti_L3","guam","riti","L3","w","r","Isoptera",14,2018-01-12,2018-01-15,3,"Isopt"
"Saipan_ForbiGrid_L3","saipan","forbig","L3","r","y","Lepidoptera",14,2018-01-17,2018-01-20,3,"Lepid"
"Saipan_LADTA_L2","saipan","ladta","L2","r","y","Apoidea",14,2018-01-17,2018-01-20,3,"Apoid"
"Saipan_Ladtg_L3","saipan","ladtg","L3","r","y","Lepidoptera",14,NA,NA,NA,"Lepid"
"Saipan_MTRL_L3","saipan","mtrl","L3","y","w","Lepidoptera",14,2018-01-17,2018-01-20,3,"Lepid"
