"","uniqueid","location","habit","habitat","abpapillae","adpapillae","ex3","ex4","ex5","ex6","ex7","ex8","ex9","ex10"
"1",1,"mexico","erect","savanna",1,0,0,1,1,0,0,0,1,0
"2",2,"mexico","arching","forest",1,0,1,1,0,1,0,1,0,1
"3",3,"central_america","climbing","savanna",1,0,1,1,0,1,0,0,0,1
"4",4,"central_america","erect","forest",0,0,0,1,0,1,0,0,0,1
"5",5,"andes","arching","savanna",1,0,0,1,0,1,0,1,1,0
"6",6,"andes","climbing","forest",1,0,0,1,0,0,0,1,1,1
"7",7,"sa_east","erect","savanna",1,0,0,1,1,1,0,0,1,0
"8",8,"sa_east","arching","forest",0,0,0,1,0,0,1,0,0,1
"9",9,"mexico","climbing","savanna",0,0,0,1,0,1,0,0,0,1
"10",10,"mexico","erect","forest",1,0,0,1,0,1,0,0,0,1
"11",11,"central_america","arching","savanna",1,0,0,1,0,1,1,0,0,1
"12",12,"central_america","climbing","forest",0,0,1,1,0,1,0,0,1,0
"13",13,"andes","erect","savanna",0,0,0,1,1,1,0,0,0,0
"14",14,"andes","arching","forest",1,0,0,1,1,1,0,0,0,1
"15",15,"sa_east","climbing","savanna",1,0,0,1,0,1,0,0,0,0
"16",16,"sa_east","erect","forest",1,0,1,0,0,1,0,0,1,0
"17",17,"mexico","arching","savanna",0,0,1,1,0,1,1,1,0,1
"18",18,"mexico","climbing","forest",0,0,0,1,0,1,0,1,0,0
"19",19,"central_america","erect","savanna",0,0,0,1,0,1,0,0,0,0
"20",20,"central_america","arching","forest",0,0,0,1,0,0,1,0,0,0
"21",21,"andes","climbing","savanna",0,0,0,0,1,1,1,0,0,0
"22",22,"andes","erect","forest",0,0,1,1,0,0,0,0,1,1
"23",23,"sa_east","arching","savanna",0,1,1,1,0,1,1,1,0,0
"24",24,"sa_east","climbing","forest",0,0,0,1,1,0,1,0,0,1
"25",25,"mexico","erect","savanna",1,0,0,1,1,1,1,0,1,0
"26",26,"mexico","arching","forest",0,0,0,1,0,1,1,0,1,0
"27",27,"central_america","climbing","savanna",1,0,1,0,0,1,0,1,0,1
"28",28,"central_america","erect","forest",0,0,0,1,1,1,1,0,0,0
"29",29,"andes","arching","savanna",1,0,0,1,0,1,1,0,1,0
"30",30,"andes","climbing","forest",0,0,0,1,1,1,0,1,0,1
"31",31,"sa_east","erect","savanna",1,0,1,1,1,1,0,1,0,0
"32",32,"sa_east","arching","forest",0,0,0,1,0,1,0,0,1,1
"33",33,"mexico","climbing","savanna",0,0,0,1,1,1,0,0,0,0
"34",34,"mexico","erect","forest",1,1,0,0,0,1,0,1,0,0
"35",35,"central_america","arching","savanna",0,0,0,0,0,1,1,0,0,0
"36",36,"central_america","climbing","forest",1,0,0,1,0,1,0,0,0,0
"37",37,"andes","erect","savanna",1,0,0,1,0,1,1,1,0,1
"38",38,"andes","arching","forest",1,1,0,1,0,0,1,1,0,0
"39",39,"sa_east","climbing","savanna",0,0,1,1,0,1,1,1,0,1
"40",40,"sa_east","erect","forest",1,0,0,1,0,1,1,1,0,1
"41",41,"mexico","arching","savanna",1,0,1,1,1,0,1,0,0,0
"42",42,"mexico","climbing","forest",0,1,0,1,0,1,0,0,0,0
"43",43,"central_america","erect","savanna",0,0,0,1,0,1,0,0,1,0
"44",44,"central_america","arching","forest",1,0,0,1,0,1,0,0,0,0
"45",45,"andes","climbing","savanna",1,0,0,1,0,0,0,0,0,1
"46",46,"andes","erect","forest",0,1,0,1,0,1,1,0,0,0
"47",47,"sa_east","arching","savanna",0,1,0,1,0,0,0,1,0,0
"48",48,"sa_east","climbing","forest",1,1,0,1,0,1,1,0,0,1
"49",49,"mexico","erect","savanna",0,0,0,1,0,1,0,0,0,1
"50",50,"mexico","arching","forest",0,0,0,1,0,1,0,0,0,0
"51",51,"central_america","climbing","savanna",0,0,0,1,1,0,0,0,1,1
"52",52,"central_america","erect","forest",1,0,1,1,0,1,0,1,0,0
"53",53,"andes","arching","savanna",0,0,1,1,1,1,0,1,0,0
"54",54,"andes","climbing","forest",0,0,0,1,0,1,1,1,0,0
"55",55,"sa_east","erect","savanna",0,0,0,1,1,0,0,1,0,0
"56",56,"sa_east","arching","forest",0,0,0,1,0,1,1,1,1,0
"57",57,"mexico","climbing","savanna",1,0,0,0,0,1,1,0,0,0
"58",58,"mexico","erect","forest",1,1,0,1,0,1,1,0,0,1
"59",59,"central_america","arching","savanna",1,1,0,1,1,1,1,1,0,0
"60",60,"central_america","climbing","forest",0,0,0,1,0,1,1,1,0,1
